id,logged_at,symbol,direction,entry,stop,target1,target2,qty,rupees_at_risk,status,exit_time,exit_price,pnl,r_multiple,outcome,tag,score
ABCAPITAL_20260629_091956,2026-06-29T09:19:56.104831+05:30,ABCAPITAL,LONG,392.0,372.4,423.36,454.72,51,999.6,OPEN,,,,,,intraday,
ZYDUSLIFE_20260629_091956,2026-06-29T09:19:56.104831+05:30,ZYDUSLIFE,LONG,1112.3,1056.69,1201.28,1290.27,17,945.46,OPEN,,,,,,intraday,
TRENT_20260629_093028,2026-06-29T09:30:28.295268+05:30,TRENT,LONG,3288.3,3123.89,3551.36,3814.43,6,986.49,OPEN,,,,,,intraday,
APOLLOHOSP_20260629_094407,2026-06-29T09:44:07.174818+05:30,APOLLOHOSP,LONG,8710.0,8274.5,9406.8,10103.6,2,871.0,OPEN,,,,,,intraday,
CIPLA_20260629_094407,2026-06-29T09:44:07.174818+05:30,CIPLA,LONG,1462.5,1389.38,1579.5,1696.5,13,950.62,OPEN,,,,,,intraday,
LUPIN_20260629_101624,2026-06-29T10:16:24.444787+05:30,LUPIN,LONG,2400.5,2280.47,2592.54,2784.58,8,960.2,OPEN,,,,,,intraday,
MARICO_20260629_115241,2026-06-29T11:52:41.164134+05:30,MARICO,LONG,844.15,801.94,911.68,979.21,23,970.77,OPEN,,,,,,intraday,
JBCHEPHARM_20260629_115241,2026-06-29T11:52:41.164134+05:30,JBCHEPHARM,LONG,2307.9,2192.5,2492.53,2677.16,8,923.16,OPEN,,,,,,intraday,
DMART_20260629_124354,2026-06-29T12:43:54.191818+05:30,DMART,LONG,4329.6,4113.12,4675.97,5022.34,4,865.92,OPEN,,,,,,intraday,
BHARATFORG_20260629_172050,2026-06-29T17:20:50.326747+05:30,BHARATFORG,LONG,2170.9,2062.35,2344.57,2518.24,9,976.9,CLOSED,2026-06-30T00:00:00+05:30,2062.35,-976.95,-1.0,stop,intraday,80.2
ONGC_20260630_011331,2026-06-30T01:13:31.701362+05:30,ONGC,SHORT,233.1,244.76,214.45,195.8,85,990.68,OPEN,,,,,,core,89.9
VEDL_20260630_011331,2026-06-30T01:13:31.701362+05:30,VEDL,SHORT,273.45,287.12,251.57,229.7,73,998.09,OPEN,,,,,,core,82.3
CHOLAFIN_20260630_011331,2026-06-30T01:13:31.701362+05:30,CHOLAFIN,LONG,1799.2,1709.24,1943.14,2087.07,11,989.56,OPEN,,,,,,core,79.0
NATIONALUM_20260630_011331,2026-06-30T01:13:31.701362+05:30,NATIONALUM,SHORT,332.15,348.76,305.58,279.01,60,996.45,OPEN,,,,,,core,71.5
KAJARIACER_20260630_011331,2026-06-30T01:13:31.701362+05:30,KAJARIACER,LONG,1196.6,1136.77,1292.33,1388.06,16,957.28,OPEN,,,,,,core,69.1
HINDALCO_20260630_011331,2026-06-30T01:13:31.701362+05:30,HINDALCO,SHORT,953.2,1000.86,876.94,800.69,20,953.2,OPEN,,,,,,core,68.6
OFSS_20260630_011331,2026-06-30T01:13:31.701362+05:30,OFSS,LONG,10974.5,10425.77,11852.46,12730.42,1,548.73,OPEN,,,,,,core,68.5
FEDERALBNK_20260630_011331,2026-06-30T01:13:31.701362+05:30,FEDERALBNK,LONG,324.05,307.85,349.97,375.9,61,988.35,OPEN,,,,,,core,63.2
IRFC_20260630_011331,2026-06-30T01:13:31.701362+05:30,IRFC,SHORT,91.77,96.36,84.43,77.09,217,995.7,OPEN,,,,,,core,57.7
SUPREMEIND_20260630_011331,2026-06-30T01:13:31.701362+05:30,SUPREMEIND,SHORT,3421.9,3592.99,3148.15,2874.4,5,855.47,CLOSED,2026-07-01T00:00:00+05:30,3148.15,1368.75,1.6,target,core,56.0
RELAXO_20260630_091331,2026-06-30T09:13:31.340390+05:30,RELAXO,LONG,417.85,396.96,451.28,484.71,47,981.95,OPEN,,,,,,core,86.0
BHARATFORG_20260630_091331,2026-06-30T09:13:31.340390+05:30,BHARATFORG,LONG,2170.9,2062.35,2344.57,2518.24,9,976.9,OPEN,,,,,,core,80.3
FINCABLES_20260630_091331,2026-06-30T09:13:31.340390+05:30,FINCABLES,LONG,1179.2,1120.24,1273.54,1367.87,16,943.36,OPEN,,,,,,core,75.8
PERSISTENT_20260630_091331,2026-06-30T09:13:31.340390+05:30,PERSISTENT,SHORT,4298.5,4513.43,3954.62,3610.74,4,859.7,OPEN,,,,,,core,66.3
SHRIRAMFIN_20260630_091331,2026-06-30T09:13:31.340390+05:30,SHRIRAMFIN,LONG,1032.65,981.02,1115.26,1197.87,19,981.02,OPEN,,,,,,core,62.2
WIPRO_20260630_091632,2026-06-30T09:16:32.099606+05:30,WIPRO,SHORT,175.31,184.08,161.29,147.26,114,999.27,OPEN,,,,,,intraday,58.0
SOUTHBANK_20260630_091632,2026-06-30T09:16:32.099606+05:30,SOUTHBANK,LONG,46.24,43.93,49.94,53.64,432,998.78,OPEN,,,,,,intraday,57.7
ABCAPITAL_20260630_091632,2026-06-30T09:16:32.099606+05:30,ABCAPITAL,LONG,390.55,371.02,421.79,453.04,51,995.9,OPEN,,,,,,intraday,56.8
PIDILITIND_20260630_091632,2026-06-30T09:16:32.099606+05:30,PIDILITIND,LONG,1602.3,1522.19,1730.48,1858.67,12,961.38,OPEN,,,,,,intraday,55.3
INFY_20260630_091632,2026-06-30T09:16:32.099606+05:30,INFY,SHORT,1029.7,1081.18,947.32,864.95,19,978.21,OPEN,,,,,,intraday,51.1
GUJGASLTD_20260630_091806,2026-06-30T09:18:06.873562+05:30,GUJGASLTD,SHORT,331.35,347.92,304.84,278.33,60,994.05,OPEN,,,,,,intraday,61.0
KPITTECH_20260630_091806,2026-06-30T09:18:06.873562+05:30,KPITTECH,SHORT,704.85,740.09,648.46,592.07,28,986.79,CLOSED,2026-07-01T00:00:00+05:30,648.46,1578.92,1.6,target,intraday,57.2
TCS_20260630_101033,2026-06-30T10:10:33.909391+05:30,TCS,SHORT,2053.0,2155.65,1888.76,1724.52,9,923.85,OPEN,,,,,,intraday,67.6
ZENSARTECH_20260630_101033,2026-06-30T10:10:33.909391+05:30,ZENSARTECH,SHORT,428.2,449.61,393.94,359.69,46,984.86,CLOSED,2026-07-02T00:00:00+05:30,449.61,-984.86,-1.0,stop,intraday,57.7
MAXHEALTH_20260630_104256,2026-06-30T10:42:56.785284+05:30,MAXHEALTH,LONG,1142.9,1085.76,1234.33,1325.76,17,971.47,OPEN,,,,,,core,73.1
TATAELXSI_20260630_104256,2026-06-30T10:42:56.785284+05:30,TATAELXSI,SHORT,3895.8,4090.59,3584.14,3272.47,5,973.95,CLOSED,2026-07-01T00:00:00+05:30,3584.14,1558.3,1.6,target,core,57.1
