id,logged_at,symbol,direction,entry,stop,target1,target2,qty,rupees_at_risk,status,exit_time,exit_price,pnl,r_multiple,outcome,tag,score
JBCHEPHARM_20260714_115201,2026-07-14T11:52:01.671805+05:30,JBCHEPHARM,LONG,2480.7,2381.15,2659.9,2829.14,10.0,995.54,CLOSED,2026-07-16T00:00:00+05:30,2381.15,-995.5,-1.0,stop,core,66.2
TORNTPHARM_20260714_115201,2026-07-14T11:52:01.671805+05:30,TORNTPHARM,LONG,4994.3,4789.4,5363.12,5711.45,4.0,819.6,CLOSED,2026-07-17T00:00:00+05:30,4789.4,-819.6,-1.0,stop,core,66.1
KPITTECH_20260714_115201,2026-07-14T11:52:01.671805+05:30,KPITTECH,SHORT,560.45,588.47,510.01,462.37,35.0,980.79,OPEN,,,,,,core,64.0
SONACOMS_20260714_115201,2026-07-14T11:52:01.671805+05:30,SONACOMS,LONG,668.35,635.25,727.94,784.21,30.0,993.12,OPEN,,,,,,core,57.3
OFSS_20260715_115517,2026-07-15T11:55:17.137132+05:30,OFSS,LONG,11701.0,11115.95,12754.09,13748.67,1.0,585.05,OPEN,,,,,,core,75.4
SUNPHARMA_20260715_115517,2026-07-15T11:55:17.137132+05:30,SUNPHARMA,LONG,1956.2,1893.04,2069.89,2177.26,15.0,947.4,OPEN,,,,,,core,69.4
VEDL_20260715_115517,2026-07-15T11:55:17.137132+05:30,VEDL,SHORT,263.2,276.36,239.51,217.14,75.0,987.0,OPEN,,,,,,core,67.5
TATAELXSI_20260715_115517,2026-07-15T11:55:17.137132+05:30,TATAELXSI,SHORT,3517.3,3693.17,3200.74,2901.77,5.0,879.33,OPEN,,,,,,core,67.0
HFCL_20260715_115517,2026-07-15T11:55:17.137132+05:30,HFCL,LONG,223.41,212.24,243.52,262.51,89.0,994.17,OPEN,,,,,,core,64.8
APOLLOHOSP_20260715_115517,2026-07-15T11:55:17.137132+05:30,APOLLOHOSP,LONG,8977.5,8695.48,9485.13,9964.56,3.0,846.05,OPEN,,,,,,core,61.1
PAYTM_20260715_115517,2026-07-15T11:55:17.137132+05:30,PAYTM,LONG,1364.8,1296.56,1487.63,1603.64,14.0,955.36,OPEN,,,,,,core,59.3
LUPIN_20260715_115517,2026-07-15T11:55:17.137132+05:30,LUPIN,LONG,2503.5,2410.59,2670.73,2828.68,10.0,929.07,OPEN,,,,,,core,56.6
SONACOMS_20260716_115849,2026-07-16T11:58:49.102071+05:30,SONACOMS,LONG,682.6,648.47,744.03,802.05,29.0,989.77,OPEN,,,,,,core,77.4
OFSS_20260716_115849,2026-07-16T11:58:49.102071+05:30,OFSS,LONG,11786.0,11196.7,12846.74,13848.55,1.0,589.3,OPEN,,,,,,core,75.4
TANLA_20260716_115849,2026-07-16T11:58:49.102071+05:30,TANLA,LONG,586.05,556.75,638.79,688.61,34.0,996.28,OPEN,,,,,,core,73.7
DIXON_20260716_115849,2026-07-16T11:58:49.102071+05:30,DIXON,LONG,14319.0,13603.05,15607.71,16824.83,1.0,715.95,OPEN,,,,,,core,62.9
LAURUSLABS_20260716_115849,2026-07-16T11:58:49.102071+05:30,LAURUSLABS,LONG,1558.7,1480.76,1698.98,1831.47,12.0,935.22,OPEN,,,,,,core,60.4
DIVISLAB_20260716_115849,2026-07-16T11:58:49.102071+05:30,DIVISLAB,LONG,7382.5,7068.6,7947.51,8481.14,3.0,941.69,OPEN,,,,,,core,59.4
JBCHEPHARM_20260716_115849,2026-07-16T11:58:49.102071+05:30,JBCHEPHARM,LONG,2465.6,2363.64,2649.13,2822.46,9.0,917.64,OPEN,,,,,,core,56.6
TORNTPHARM_20260716_115849,2026-07-16T11:58:49.102071+05:30,TORNTPHARM,LONG,4991.0,4785.79,5360.37,5709.23,4.0,820.83,CLOSED,2026-07-17T00:00:00+05:30,4785.79,-820.84,-1.0,stop,core,56.6
OFSS_20260717_115517,2026-07-17T11:55:17.881578+05:30,OFSS,LONG,11630.0,11048.5,12676.7,13665.25,1.0,581.5,OPEN,,,,,,core,75.4
SONACOMS_20260717_115517,2026-07-17T11:55:17.881578+05:30,SONACOMS,LONG,705.65,670.62,768.71,828.26,28.0,980.87,OPEN,,,,,,core,73.2
RELAXO_20260717_115517,2026-07-17T11:55:17.881578+05:30,RELAXO,LONG,416.55,395.72,454.04,489.45,48.0,999.72,OPEN,,,,,,core,71.4
VEDL_20260717_115517,2026-07-17T11:55:17.881578+05:30,VEDL,SHORT,254.6,267.33,231.69,210.05,78.0,992.94,OPEN,,,,,,core,69.2
EXIDEIND_20260717_115517,2026-07-17T11:55:17.881578+05:30,EXIDEIND,LONG,430.85,409.31,469.63,506.25,46.0,990.96,OPEN,,,,,,core,69.1
ICICIBANK_20260717_115517,2026-07-17T11:55:17.881578+05:30,ICICIBANK,LONG,1439.0,1391.03,1525.34,1606.88,20.0,959.3,OPEN,,,,,,core,68.6
KPITTECH_20260717_115517,2026-07-17T11:55:17.881578+05:30,KPITTECH,SHORT,549.5,576.98,500.05,453.34,36.0,989.1,OPEN,,,,,,core,59.6
JBCHEPHARM_20260717_115517,2026-07-17T11:55:17.881578+05:30,JBCHEPHARM,LONG,2408.9,2292.75,2617.98,2815.44,8.0,929.22,OPEN,,,,,,core,56.8
